,ID,RA,Dec,M,Axis_maj,Axis_min,R_eff,PA,Area,V_cen,V_RMS,V_RMS_dendro,V_disp,V_disp_nt,V_grad_abs,V_grad_PA,j,M_vir,virial,m_lin,m_lin_vir,virial_lin,id_unresolved,id_resolvedLeaves,id_resolvedBranches,id_SCIMES,abundance_pNH3,count_c2d,count_SCUBA2,Tkin,Tdust
46,46,246.654703896,-24.4988940217,10.860907945,0.0154740003648,0.0111322202638,0.0131247849667,105.31257839,0.00176203855163,3.65337939405,0.392866174802,0.328749540432,0.432082979097,0.38628525568,2.66281727541,173.410299568,0.000183478740693,2.27826712072,0.209767648549,298.061447302,86.7925503731,0.291190125924,False,False,True,46,3.90754016457e-10,0,0,10.5030253662,23.5847051167
47,47,246.769533347,-24.4929459271,97670.8722347,0.172375199954,0.11313283502,0.139647037412,118.080769077,0.112620506576,3.66994756149,0.338915638513,0.33367363111,0.389915100945,0.330110047071,0.414424098272,47.5513091784,0.00323272264783,19.7401280567,0.000202108649233,240620.46357,70.6786496246,0.000293734990682,False,False,True,47,1.20521439319e-11,10,33,12.0672222558,19.7891863086
48,48,246.831235986,-24.4752934517,6911.49212989,0.0740739186989,0.0341811032502,0.0503182696761,49.6470420862,0.0249309709964,3.78283189737,0.379689163535,0.342324451424,0.429659282797,0.371152133377,2.90373926048,15.7479146813,0.00294082380102,8.63678731998,0.00124962702086,39623.1294465,85.8215850383,0.00216594666391,False,False,True,48,5.93924517793e-11,4,17,13.1298859991,17.2215524803
49,49,246.79080435,-24.5065185196,47108.6590848,0.130789990133,0.0535995344435,0.0837274302783,50.4070126445,0.0755427166283,3.73444077214,0.328877546749,0.316512366854,0.377820626917,0.320434861321,0.56401187984,30.1289937711,0.00158155306269,11.1126393368,0.000235893773092,152956.7022,66.3619992869,0.000433861336786,False,False,True,49,1.82949582595e-11,7,20,11.2289797486,18.5283433652
50,50,246.766528728,-24.490281808,159462.828287,0.189444405989,0.113937509382,0.146917744962,119.848842752,0.153297353992,3.62791310718,0.36150846033,0.356178296142,0.410235128182,0.353168985343,0.278622023735,122.162332547,0.00240560291395,22.9888938163,0.000144164593487,357453.828452,78.2372946923,0.000218873847375,False,False,True,50,8.64858533318e-12,11,38,12.2082882689,20.1915897925
51,51,246.764194402,-24.4903197133,179204.465557,0.195666073954,0.11449824339,0.149677726328,120.704049636,0.164206996939,3.62431900703,0.368208216435,0.366435439962,0.416181577026,0.360018392296,0.35576625571,147.807230326,0.00318815258968,24.1046599433,0.000134509259401,388933.697678,80.521866996,0.00020703237461,False,False,True,51,7.97337380941e-12,11,40,12.2165086927,20.2780484235
52,52,247.01477216,-24.6473779292,3.27578956638,0.0126312374176,0.00923870151981,0.0108026030348,104.397930773,0.00123717600433,3.77158949434,0.366921266889,0.310477668595,0.397463380101,0.361843971477,2.26229068612,288.821042595,0.000105600319799,1.58672180139,0.484378428234,110.131707604,73.4416416248,0.666852836688,False,False,True,52,1.12195542424e-09,0,0,7.57924716762,18.8624137361
53,53,246.765186473,-24.4896611646,164676.351904,0.19339979312,0.113598975684,0.148222867318,120.191705449,0.156109117638,3.62434129369,0.364146644975,0.358793157387,0.412828569624,0.355819970444,0.309139289787,124.978590837,0.00271671835343,23.4872855874,0.000142626948653,361590.913328,79.2296290455,0.000219113993536,False,False,True,53,8.46676091182e-12,11,38,12.2797616405,20.2344336057
54,54,246.852535519,-24.4537591896,1030.37028334,0.0576505623079,0.0120049433264,0.0263076364054,77.7850541118,0.0082478400289,3.96974853144,0.347966581387,0.260401420289,0.4051977777,0.338007392038,1.97104939015,115.856124729,0.000545658795492,4.01600337492,0.00389763121071,7589.83008122,76.3277117151,0.0100565771431,False,False,True,54,1.53780431454e-10,1,12,13.9938629556,16.3064725935
55,55,246.869682438,-24.4508131173,381.7999002,0.0293014606286,0.0113897700501,0.0182684673328,71.9562571811,0.00449882183395,4.00591522586,0.347498786954,0.278163638537,0.403724604533,0.337729139986,9.97430520227,129.517734923,0.00133151747392,2.76853919997,0.00725128319447,5533.35860451,75.7737129649,0.0136939819702,False,False,True,54,2.45157249916e-10,0,11,13.7126033464,15.7465302405
56,56,246.986832179,-24.6493005806,3.18838395158,0.0129703095471,0.0112281348031,0.0120678243289,149.163051661,0.00127466618628,3.63296607447,0.41301961118,0.346161719049,0.420322454538,0.411850276356,5.57085970985,6.19528365108,0.000324519032262,1.98231328384,0.621729789744,104.390877794,82.132173531,0.786775389445,False,False,True,56,2.24777743574e-10,0,0,1.97574240964,19.4299711881
57,57,246.997803908,-24.5602027057,202.815018574,0.0232698636687,0.0138647323013,0.0179619161131,171.803088022,0.00656078184117,4.12524866557,0.159583932226,0.145045410175,0.213950645295,0.149158933776,2.20787744026,342.438448262,0.000284931379576,0.764465681455,0.00376927550449,3701.25109355,21.2801818203,0.00574945640879,False,True,False,45,2.88230703388e-10,0,1,6.59293689667,16.8947484805
